Oord,Sord,AxLab,FarSource,SID,ExperimentName,Phase,Subject,Pic,Trial,Question,Rating,FaceDist
8133,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Adam.bmp,1,Attract,65,Close
8134,H,SP-C,L,SP-C_L7,SP-C_LB_Final1,Rating,7,Mark.bmp,2,Attract,58,Far
8075,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Adam.bmp,2,Know,50,Far
8076,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Mark.bmp,1,Know,76,Close
8095,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Adam.bmp,2,Acc,50,Far
8096,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Mark.bmp,1,Acc,73,Close
8115,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Adam.bmp,1,Trust,44,Far
8116,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Mark.bmp,2,Trust,65,Close
8135,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Adam.bmp,1,Attract,58,Far
8136,H,SP-C,L,SP-C_L8,SP-C_LB_Final1,Rating,8,Mark.bmp,2,Attract,58,Close
8077,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Adam.bmp,2,Know,99,Close
8078,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Mark.bmp,1,Know,18,Far
8097,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Adam.bmp,2,Acc,87,Close
8098,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Mark.bmp,1,Acc,19,Far
8117,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Adam.bmp,1,Trust,99,Close
8118,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Mark.bmp,2,Trust,16,Far
8137,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Adam.bmp,1,Attract,47,Close
8138,H,SP-C,L,SP-C_L9,SP-C_LB_Final1,Rating,9,Mark.bmp,2,Attract,45,Far
3991,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Adam.bmp,2,Know,47,Close
3992,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Mark.bmp,1,Know,39,Far
4011,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Adam.bmp,2,Acc,55,Close
4012,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Mark.bmp,1,Acc,61,Far
4031,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Adam.bmp,1,Trust,52,Close
4032,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Mark.bmp,2,Trust,61,Far
4051,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Adam.bmp,2,Attract,59,Close
4052,H,SP-C,R,SP-C_R1,SP-C_RB_Final1,Rating,1,Mark.bmp,1,Attract,52,Far
4009,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Adam.bmp,1,Know,36,Far
4010,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Mark.bmp,2,Know,62,Close
4029,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Adam.bmp,1,Acc,64,Far
4030,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Mark.bmp,2,Acc,87,Close
4049,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Adam.bmp,1,Trust,64,Far
4050,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Mark.bmp,2,Trust,72,Close
4069,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Adam.bmp,1,Attract,50,Far
4070,H,SP-C,R,SP-C_R10,SP-C_RB_Final1,Rating,10,Mark.bmp,2,Attract,50,Close
3993,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Adam.bmp,2,Know,64,Far
3994,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Mark.bmp,1,Know,56,Close
4013,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Adam.bmp,2,Acc,87,Far
4014,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Mark.bmp,1,Acc,95,Close
4033,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Adam.bmp,2,Trust,75,Far
4034,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Mark.bmp,1,Trust,75,Close
4053,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Adam.bmp,1,Attract,68,Far
4054,H,SP-C,R,SP-C_R2,SP-C_RB_Final1,Rating,2,Mark.bmp,2,Attract,58,Close
3995,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Adam.bmp,2,Know,75,Close
3996,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Mark.bmp,1,Know,32,Far
4015,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Adam.bmp,2,Acc,73,Close
4016,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Mark.bmp,1,Acc,32,Far
4035,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Adam.bmp,2,Trust,99,Close
4036,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Mark.bmp,1,Trust,1,Far
4055,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Adam.bmp,2,Attract,59,Close
4056,H,SP-C,R,SP-C_R3,SP-C_RB_Final1,Rating,3,Mark.bmp,1,Attract,39,Far
3997,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Adam.bmp,2,Know,53,Far
3998,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Mark.bmp,1,Know,47,Close
4017,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Adam.bmp,2,Acc,72,Far
4018,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Mark.bmp,1,Acc,68,Close
4037,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Adam.bmp,2,Trust,61,Far
4038,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Mark.bmp,1,Trust,36,Close
4057,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Adam.bmp,2,Attract,32,Far
4058,H,SP-C,R,SP-C_R4,SP-C_RB_Final1,Rating,4,Mark.bmp,1,Attract,35,Close
3999,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Adam.bmp,2,Know,92,Close
4000,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Mark.bmp,1,Know,15,Far
4019,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Adam.bmp,2,Acc,88,Close
4020,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Mark.bmp,1,Acc,22,Far
4039,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Adam.bmp,2,Trust,87,Close
4040,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Mark.bmp,1,Trust,33,Far
4059,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Adam.bmp,1,Attract,42,Close
4060,H,SP-C,R,SP-C_R5,SP-C_RB_Final1,Rating,5,Mark.bmp,2,Attract,12,Far
4001,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Adam.bmp,1,Know,50,Far
4002,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Mark.bmp,2,Know,72,Close
4021,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Adam.bmp,1,Acc,64,Far
4022,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Mark.bmp,2,Acc,81,Close
4041,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Adam.bmp,2,Trust,67,Far
4042,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Mark.bmp,1,Trust,68,Close
4061,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Adam.bmp,2,Attract,55,Far
4062,H,SP-C,R,SP-C_R6,SP-C_RB_Final1,Rating,6,Mark.bmp,1,Attract,55,Close
4003,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Adam.bmp,2,Know,81,Close
4004,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Mark.bmp,1,Know,81,Far
4023,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Adam.bmp,1,Acc,65,Close
4024,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Mark.bmp,2,Acc,65,Far
4043,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Adam.bmp,1,Trust,50,Close
4044,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Mark.bmp,2,Trust,50,Far
4063,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Adam.bmp,1,Attract,58,Close
4064,H,SP-C,R,SP-C_R7,SP-C_RB_Final1,Rating,7,Mark.bmp,2,Attract,59,Far
4005,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Adam.bmp,1,Know,59,Far
4006,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Mark.bmp,2,Know,85,Close
4025,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Adam.bmp,1,Acc,41,Far
4026,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Mark.bmp,2,Acc,90,Close
4045,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Adam.bmp,1,Trust,36,Far
4046,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Mark.bmp,2,Trust,73,Close
4065,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Adam.bmp,1,Attract,45,Far
4066,H,SP-C,R,SP-C_R8,SP-C_RB_Final1,Rating,8,Mark.bmp,2,Attract,55,Close
4007,H,SP-C,R,SP-C_R9,SP-C_RB_Final1,Rating,9,Adam.bmp,2,Know,99,Close
4008,H,SP-C,R,SP-C_R9,SP-C_RB_Final1,Rating,9,Mark.bmp,1,Know,1,Far
4027,H,SP-C,R,SP-C_R9,SP-C_RB_Final1,Rating,9,Adam.bmp,2,Acc,92,Close
4028,H,SP-C,R,SP-C_R9,SP-C_RB_Final1,Rating,9,Mark.bmp,1,Acc,1,Far
